paper_name,data_description,natural_language_query,answer,method,data_files,domain,treatment,outcome,control_variables,running_var,temporal_var,state_var,mediator,instrument_var,publication_year,std_error,is_significant,interaction_var
Synthetic Dataset,"This dataset was compiled from a Randomized Control Trial conducted by the Department of Housing and Urban Development (HUD) of the United States. The goal was to investigate the impact of a new housing subsidy policy on recipients' housing stability. Variables include the age of the recipient ('recipient_age'), their monthly income ('monthly_income'), whether they own a home ('is_homeowner', binary: 1 for homeowners, 0 for non-homeowners), whether they have dependents ('has_dependents', binary: 1 for yes, 0 for no), whether they reside in a rural area ('lives_in_rural_area', binary: 1 for rural, 0 for urban), whether they received the housing subsidy ('received_subsidy', binary: 1 for yes, 0 for no), and their self-reported housing stability ('housing_stability').",Does providing housing subsidies improve the stability of housing situations?,3.959617246,ols,rct_data_7.csv,policy,received_subsidy,housing_stability,"recipient_age, monthly_income, is_homeowner, has_dependents, lives_in_rural_area",,,,,,2025,,,
Synthetic Dataset,"This dataset was gathered by a team of psychologists from the National Institute of Mental Health in a randomized experiment. The study aimed to explore the impact of a mindfulness-based intervention on the stress levels of individuals with a history of mental health challenges. The 'participant_age' represents the age of the participant. The 'stress_level' is a measure of the participant's stress level before the intervention, with higher values indicating greater stress. The 'cognitive_test_score' represents the participant's cognitive abilities. The 'mental_health_history', 'psychological_treatment_history', and 'medication_history' are binary variables indicating whether the participant has a history of mental health issues, has previously undergone psychological treatment, or has been on medication, respectively. The 'mindfulness_intervention' indicates whether the participant received the mindfulness intervention (1) or not (0). The 'post_treatment_stress_level' measures the participant's stress level after the intervention.",Can practicing mindfulness techniques enhance stress reduction in individuals?,6.114257154,ols,rct_data_29.csv,psychology,mindfulness_intervention,post_treatment_stress_level,"participant_age, stress_level, cognitive_test_score, mental_health_history, psychological_treatment_history, medication_history",,,,,,2025,,,
Synthetic Dataset,This dataset was collected by the National Bureau of Economic Research (NBER) in a randomized trial to study the impact of tax credits on household annual spending. The 'age' represents the age of the head of the household. The 'income_level' is the annual household income in dollars and 'education_years' is the total years of formal education completed by the head of the household. The 'household_size' indicates the number of people living in the household. The 'is_homeowner' is a binary variable indicating whether the household owns their residence (1) or not (0). The 'has_unemployed_member' is a binary variable indicating whether the household has any member who is currently unemployed (1) or not (0). The 'received_government_benefits' denotes whether the household has received any form of government social assistance in the past year (1) or not (0). The 'tax_credit_received' indicates whether the household received a tax credit (1) or not (0). The 'annual_spending' captures the total annual spending of the household in dollars.,Will the government boost the economy by giving households a tax break?,2.531698255,ols,rct_data_48.csv,Economics,tax_credit_received,annual_spending,"age, income_level, education_years, household_size, is_homeowner, has_unemployed_member, received_government_benefits",,,,,,2025,,,
Synthetic Dataset,"The dataset was collected by the Justice Department as part of a randomized study on the impact of a restorative justice program on defendants' recidivism rates. The variables include the defendant's age ('defendant_age'), the number of prior convictions ('prior_convictions'), the severity of the crime ('severity_of_crime'), whether the defendant received legal aid ('legal_aid_received'), the experience of the defendant's lawyer ('lawyer_experience_years'), whether the defendant accepted a plea bargain ('plea_bargain_accepted'), whether the defendant completed community service ('community_service_completed'), and whether a victim impact statement was presented ('victim_impact_statement_presented'). The restorative justice program participation ('restorative_justice_program') is a binary variable, with 1 indicating participation in the program and 0 indicating no participation. The recidivism rate ('recidivism_rate') represents the likelihood of reoffending.",Can participating in a restorative justice program lower the likelihood of reoffending among defendants?,8.998674328,ols,rct_data_38.csv,law,restorative_justice_program,recidivism_rate,"defendant_age, prior_convictions, severity_of_crime, legal_aid_received, lawyer_experience_years, plea_bargain_accepted, community_service_completed, victim_impact_statement_presented",,,,,,2025,,,
Synthetic Dataset,"The dataset is a result of a Randomized Control Trial (RCT) conducted by the Department of Education in a midwestern state in the U.S. The department aimed to study the impact of using interactive textbooks on students' final grades. The study controlled for factors such as the student's age ('student_age'), the education level of their parents ('parent_education_level'), the size of their classroom ('classroom_size'), the school funding per student ('school_funding_per_student'), whether their school is located in a rural area ('rural_school'), and whether they have access to tutoring ('access_to_tutoring'). The intervention, or treatment, was the use of interactive textbooks ('interactive_textbook_use'), where a value of 1 indicates that the student used the interactive textbooks and 0 indicates that they did not. The final grades ('final_grade') of the students at the end of the school year were recorded.",Does the use of interactive textbooks enhance students' final grades?,7.817072114,ols,rct_data_17.csv,education,interactive_textbook_use,final_grade,"student_age, parent_education_level, classroom_size, school_funding_per_student, rural_school, access_to_tutoring",,,,,,2025,,,
Synthetic Dataset,"The dataset was collected during a Randomized Control Trial conducted by a leading healthcare research institute. The trial was designed to study the impact of a new treatment on the recovery rates of patients diagnosed with Chronic Obstructive Pulmonary Disease (COPD). The 'patient_age' represents the age of the patients. The 'months_since_diagnosis' indicates the number of months that have passed since the patients were diagnosed with COPD. The 'smoking_status', 'physical_activity', and 'diabetes_diagnosis' are binary variables. The 'smoking_status' indicates whether the patient is a smoker (1) or not (0), 'physical_activity' denotes whether the patient is physically active (1) or not (0), and 'diabetes_diagnosis' signifies whether the patient has been diagnosed with diabetes (1) or not (0). The 'new_treatment' indicates whether the patient received the new treatment (1) or was in the control condition (0). Finally, 'recovery_rate' represents the recovery rate of the patients on a scale of 0 to 100.",Will the introduction of a new treatment boost the recovery rates of patients suffering from Chronic Obstructive Pulmonary Disease (COPD)?,8.153864237,ols,rct_data_26.csv,healthcare,new_treatment,recovery_rate,"patient_age, months_since_diagnosis, smoking_status, physical_activity, diabetes_diagnosis",,,,,,2025,,,
Synthetic Dataset,"The dataset was collected by the Department of Political Science at a national university in partnership with a non-profit organization through a randomized experiment. The aim of the study was to examine the impact of a political campaign on voter turnout in a nationwide election. The participants' ages, varying between 18 and 63 years, are recorded as 'age'. Their years of formal education, ranging from 13 to 35 years, are recorded as 'education_years'. The participants' annual income in thousands of dollars is defined as 'income'. The level of political activity, such as attending political rallies or participating in political discussions, is recorded as 'political_activity'. The level of news exposure, measured as hours spent on news consumption per week, is recorded as 'news_exposure'. Whether the participant resides in a rural area is noted as 'rural_residence' and is binary, with 1 indicating rural residence and 0 indicating urban residence. The participants' previous voting history, whether they have voted in past elections, is captured as 'previous_voting_history' and is binary, with 1 indicating they have voted before and 0 indicating they have not. The experiment involved exposing a randomly selected group of participants to a political campaign, recorded as 'campaign_exposure', where 1 indicates exposure and 0 indicates no exposure. Finally, 'voting_turnout' represents whether participants voted in the subsequent election, with 1 indicating they voted and 0 indicating they did not vote.",Can exposure to a political campaign lower voter apathy in a nationwide election?,4.46159042,ols,rct_data_39.csv,political_science,campaign_exposure,voting_turnout,"age, education_years, income, political_activity, news_exposure, rural_residence, previous_voting_history",,,,,,2025,,,
Synthetic Dataset,"This dataset was compiled by the Department of Labor in a randomized trial to evaluate the impact of a new job security policy on job satisfaction among workers. The dataset considered various factors such as the individual's age, years of education, income, number of hours worked per week, and years of job experience. It also included binary variables such as union membership (1 for members, 0 for non-members) and whether the individual had undergone a job training program (1 for yes, 0 for no). The job security policy indicates whether individuals were affected by the policy (1) or not (0). Job satisfaction level was measured with higher values indicating greater satisfaction.",Does a new job security policy result in improved worker job satisfaction?,7.266382436,ols,rct_data_27.csv,labor,job_security_policy,job_satisfaction_level,"individual_age, education_years, income, weekly_working_hours, job_experience_years, union_membership, job_training_program",,,,,,2025,,,
Synthetic Dataset,"This dataset was collected from a randomized control trial conducted by the Department of Sociology in collaboration with the National Institute of Informatics. The trial was designed to understand the impact of a digital literacy program on internet usage. The variables in the dataset include the age of the individuals ('individual_age'), their years of education ('years_of_education'), their employment status ('employed'), whether or not they have access to the internet ('internet_access'), and whether they live in a rural area ('rural_residence'). The 'digital_literacy_program' indicates whether or not the individual was randomly assigned to participate in the digital literacy program (1 means they participated, 0 means they did not). Finally, the 'internet_usage' represents the average number of hours the individual spends on the internet per day.",Can implementing a digital literacy program increase daily internet usage?,1.597041686,ols,rct_data_24.csv,sociology,digital_literacy_program,internet_usage,"individual_age, years_of_education, employed, internet_access, rural_residence",,,,,,2025,,,
Synthetic Dataset,"This dataset is a record from a Randomized Control Trial conducted by the Department of Transportation to study the impact of a public transport subsidy policy on the residents' usage of public transport. The policy was randomly assigned to various residents. The variables in the dataset include 'resident_age' representing the age of the resident, 'income_level' capturing the yearly income of the resident, 'urban_residence' indicating whether the resident lives in an urban (1) or rural (0) area, and 'employment_status' showing whether the resident is employed (1) or unemployed (0). The 'public_transport_subsidy' is a binary indicator of whether the resident received a public transport subsidy (1) or not (0). The 'public_transport_usage' measures the number of times a resident used public transport in a month.",Does providing subsidies for public transportation enhance its usage among residents?,6.072467523,ols,rct_data_2.csv,policy,public_transport_subsidy,public_transport_usage,"resident_age, income_level, urban_residence, employment_status",,,,,,2025,,,
